InvoiceID,Gender,Products,Quantity,Total,Payment,Salary,Purchased
136-08-6195,Female,Home and lifestyle,8,587.664,Credit card,1000,No
523-38-0215,Male,Home and lifestyle,1,38.85,Credit card,5000,Yes
490-29-1201,Female,Sports and travel,1,16.107,Cash,4000,Yes
667-92-0055,Male,Health and beauty,6,628.929,Ewallet,1200,No
565-17-3836,Female,Health and beauty,4,200.214,Cash,2000,Yes
498-41-1961,Male,Health and beauty,5,350.07,Cash,5000,Yes
593-95-4461,Male,Home and lifestyle,1,78.603,Cash,4000,Yes
226-71-3580,Female,Sports and travel,9,224.4375,Cash,12000,Yes
283-79-9594,Female,Food and beverages,7,356.5485,Credit card,8000,Yes
430-60-3493,Female,Home and lifestyle,7,697.368,Cash,3000,Yes
139-20-0155,Male,Electronic accessories,10,423.15,Credit card,20000,Yes
558-80-4082,Male,Electronic accessories,7,204.6975,Ewallet,6000,Yes
278-97-7759,Female,Electronic accessories,1,65.604,Cash,10000,Yes
316-68-6352,Female,Food and beverages,2,76.356,Cash,12000,Yes
585-03-5943,Male,Health and beauty,10,190.155,Ewallet,9000,Yes
211-05-0490,Female,Electronic accessories,5,272.58,Cash,8000,Yes
727-75-6477,Male,Electronic accessories,4,121.128,Cash,7000,Yes
744-02-5987,Male,Home and lifestyle,6,493.794,Ewallet,1200,No
307-83-9164,Male,Home and lifestyle,4,252.042,Cash,13000,Yes
779-06-0012,Female,Home and lifestyle,1,93.0405,Cash,9000,Yes
446-47-6729,Male,Fashion accessories,2,209.622,Credit card,3500,Yes
573-10-3877,Male,Health and beauty,1,40.9605,Credit card,5000,Yes
735-06-4124,Male,Food and beverages,1,51.0405,Cash,4000,Yes
439-54-7422,Female,Electronic accessories,4,214.998,Credit card,3500,Yes
396-90-2219,Female,Electronic accessories,8,125.664,Cash,2000,Yes
411-77-0180,Male,Electronic accessories,7,530.67,Ewallet,5000,Yes
286-01-5402,Female,Sports and travel,7,295.6905,Cash,4000,Yes
803-17-8013,Female,Home and lifestyle,8,745.836,Cash,12000,Yes
512-98-1403,Female,Electronic accessories,3,83.412,Ewallet,8000,Yes
848-42-2560,Female,Fashion accessories,2,172.011,Cash,3000,Yes
532-59-7201,Male,Sports and travel,6,503.559,Cash,20000,Yes
181-94-6432,Male,Fashion accessories,2,145.593,Ewallet,6000,Yes
870-76-1733,Female,Food and beverages,5,74.7075,Credit card,10000,Yes
423-64-4619,Female,Health and beauty,9,146.9475,Cash,12000,Yes
227-07-4446,Female,Electronic accessories,10,820.365,Cash,9000,Yes
174-36-3675,Male,Food and beverages,2,208.677,Cash,8000,Yes
428-83-5800,Female,Food and beverages,3,66.402,Cash,7000,Yes
603-07-0961,Male,Electronic accessories,5,392.6475,Cash,1500,Yes
704-20-4138,Female,Health and beauty,7,218.0745,Credit card,13000,Yes
787-15-1757,Male,Health and beauty,4,185.094,Ewallet,9000,Yes
649-11-3678,Female,Food and beverages,9,216.6885,Cash,3500,Yes
622-20-1945,Female,Health and beauty,1,41.391,Cash,5000,Yes
372-94-8041,Male,Health and beauty,6,96.138,Ewallet,4000,Yes
563-91-7120,Female,Fashion accessories,5,324.2925,Cash,30000,Yes
746-54-5508,Male,Home and lifestyle,6,135.576,Credit card,3500,Yes
276-54-0879,Male,Sports and travel,4,410.508,Ewallet,2000,Yes
815-11-1168,Male,Food and beverages,5,523.845,Cash,5000,Yes
719-76-3868,Male,Food and beverages,4,395.892,Cash,4000,Yes
730-61-8757,Male,Health and beauty,4,214.746,Credit card,12000,Yes
340-66-0321,Male,Electronic accessories,4,152.712,Cash,8000,Yes
868-81-1752,Male,Home and lifestyle,9,208.089,Cash,3000,Yes
634-97-8956,Male,Food and beverages,3,103.635,Credit card,20000,Yes
566-71-1091,Male,Fashion accessories,5,404.355,Cash,6000,Yes
442-48-3607,Male,Food and beverages,2,49.308,Credit card,10000,Yes
835-16-0096,Male,Sports and travel,5,77.175,Ewallet,12000,Yes
527-09-6272,Female,Electronic accessories,5,149.3625,Credit card,9000,Yes
898-04-2717,Male,Fashion accessories,9,721.98,Ewallet,8000,Yes
692-27-8933,Female,Sports and travel,6,365.085,Cash,7000,Yes
633-09-3463,Female,Electronic accessories,3,150.0975,Credit card,1500,Yes
374-17-3652,Female,Food and beverages,9,404.649,Credit card,13000,Yes
378-07-7001,Male,Electronic accessories,3,151.4835,Credit card,9000,Yes
433-75-6987,Female,Health and beauty,7,411.3795,Ewallet,3500,Yes
873-95-4984,Female,Health and beauty,7,565.215,Cash,5000,Yes
416-13-5917,Female,Food and beverages,5,509.4075,Ewallet,1200,No
150-89-8043,Male,Sports and travel,3,140.6475,Cash,5000,Yes
135-84-8019,Female,Fashion accessories,9,736.4385,Ewallet,3500,Yes
441-94-7118,Male,Electronic accessories,1,75.5475,Cash,3500,Yes
725-96-3778,Female,Home and lifestyle,8,749.7,Cash,2000,Yes
531-80-1784,Male,Electronic accessories,7,191.247,Cash,5000,Yes
400-45-1220,Female,Health and beauty,10,141.75,Credit card,4000,Yes
860-79-0874,Female,Fashion accessories,10,1042.65,Credit card,12000,Yes
834-61-8124,Male,Electronic accessories,7,379.9215,Cash,8000,Yes
115-99-4379,Female,Fashion accessories,7,402.2655,Credit card,3000,Yes
565-67-6697,Male,Home and lifestyle,9,255.15,Cash,20000,Yes
320-49-6392,Female,Electronic accessories,1,31.752,Cash,6000,Yes
889-04-9723,Female,Food and beverages,4,374.388,Credit card,10000,Yes
632-90-0281,Female,Fashion accessories,10,394.275,Credit card,12000,Yes
554-42-2417,Female,Sports and travel,10,1002.12,Cash,9000,Yes
453-63-6187,Male,Electronic accessories,3,86.625,Ewallet,8000,Yes
578-80-7669,Male,Sports and travel,1,78.7185,Cash,7000,Yes
612-36-5536,Male,Food and beverages,8,680.064,Credit card,1500,No
605-72-4132,Female,Food and beverages,8,793.548,Cash,13000,Yes
471-41-2823,Male,Food and beverages,2,209.559,Ewallet,9000,Yes
462-67-9126,Male,Home and lifestyle,6,461.286,Cash,3500,Yes
272-27-9238,Female,Food and beverages,4,173.208,Cash,5000,Yes
834-25-9262,Female,Fashion accessories,4,343.056,Cash,4000,Yes
122-61-9553,Female,Electronic accessories,9,484.974,Cash,3500,Yes
468-88-0009,Male,Home and lifestyle,4,276.948,Cash,2000,Yes
613-59-9758,Female,Sports and travel,10,150.78,Cash,5000,Yes
254-31-0042,Male,Electronic accessories,9,203.175,Credit card,4000,Yes
201-86-2184,Female,Electronic accessories,7,193.011,Cash,12000,Yes
261-12-8671,Female,Fashion accessories,2,128.016,Credit card,8000,Yes
730-70-9830,Female,Home and lifestyle,6,441.693,Ewallet,3000,Yes
382-25-8917,Male,Fashion accessories,6,265.104,Cash,20000,Yes
422-29-8786,Female,Home and lifestyle,5,352.2225,Credit card,6000,Yes
667-23-5919,Female,Fashion accessories,5,507.675,Ewallet,10000,Yes
843-01-4703,Female,Home and lifestyle,9,334.341,Credit card,12000,Yes
743-88-1662,Male,Sports and travel,7,701.8515,Ewallet,9000,Yes
595-86-2894,Male,Fashion accessories,4,407.316,Ewallet,8000,Yes
182-69-8360,Female,Electronic accessories,4,99.33,Credit card,7000,Yes
289-15-7034,Male,Sports and travel,4,345.786,Credit card,1500,Yes
462-78-5240,Female,Electronic accessories,2,55.881,Cash,13000,Yes
868-52-7573,Female,Food and beverages,5,523.3725,Cash,9000,Yes
153-58-4872,Female,Food and beverages,4,314.538,Ewallet,3500,Yes
662-72-2873,Female,Food and beverages,5,214.935,Ewallet,5000,Yes
525-88-7307,Male,Sports and travel,1,79.611,Cash,4000,Yes
689-16-9784,Male,Food and beverages,6,294.651,Cash,3500,Yes
725-56-0833,Female,Health and beauty,10,339.36,Credit card,2000,Yes
394-41-0748,Female,Fashion accessories,9,510.9615,Ewallet,5000,Yes
596-42-3999,Male,Food and beverages,7,133.917,Credit card,4000,Yes
541-89-9860,Female,Fashion accessories,3,253.512,Cash,12000,Yes
